Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 18 07:44:34 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/oracle/board/attn/attn12-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|       (eng1)                                           |                                                  design_1_eng1_0 |        192 |        192 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|       inst                                             |                                 design_1_eng1_0_ternary_port_axi |      25003 |      17619 |    7368 |   16 |  6051 |     10 |      0 |   10 |        164 |
|         attention                                      |                                      design_1_eng1_0_attn_fx_axi |      21175 |      13794 |    7368 |   13 |  4218 |      0 |      0 |    0 |        164 |
|         engine                                         |                                   design_1_eng1_0_ternary_matvec |       3837 |       3834 |       0 |    3 |  1833 |     10 |      0 |   10 |          0 |
|     eng2                                               |                                                  design_1_eng2_0 |       3981 |       3978 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|       inst                                             |                               design_1_eng2_0_ternary_matvec_axi |       3981 |       3978 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|         engine                                         |                                   design_1_eng2_0_ternary_matvec |       3971 |       3968 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|     eng3                                               |                                                  design_1_eng3_0 |       3971 |       3968 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|       inst                                             |                               design_1_eng3_0_ternary_matvec_axi |       3971 |       3968 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|         engine                                         |                                   design_1_eng3_0_ternary_matvec |       3961 |       3958 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|     gdma                                               |                                                  design_1_gdma_0 |       2035 |       1885 |      10 |  140 |  3057 |     10 |      2 |    0 |          0 |
|       U0                                               |                                          design_1_gdma_0_axi_dma |       2035 |       1885 |      10 |  140 |  3057 |     10 |      2 |    0 |          0 |
|         INCLUDE_MM2S_SOF_EOF_GENERATOR.I_MM2S_DMA_MNGR |                                design_1_gdma_0_axi_dma_mm2s_mngr |         16 |         16 |       0 |    0 |    84 |      0 |      0 |    0 |          0 |
|         INCLUDE_S2MM_SOF_EOF_GENERATOR.I_S2MM_DMA_MNGR |                                design_1_gdma_0_axi_dma_s2mm_mngr |         31 |         31 |       0 |    0 |   112 |      0 |      0 |    0 |          0 |
|         I_AXI_DMA_REG_MODULE                           |                               design_1_gdma_0_axi_dma_reg_module |        166 |        166 |       0 |    0 |   331 |      0 |      0 |    0 |          0 |
|         I_PRMRY_DATAMOVER                              |                                    design_1_gdma_0_axi_datamover |       1805 |       1655 |      10 |  140 |  2492 |     10 |      2 |    0 |          0 |
|     ggpio_a                                            |                                               design_1_ggpio_a_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                      design_1_ggpio_a_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                     design_1_ggpio_a_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                 design_1_ggpio_a_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     ggpio_b                                            |                                               design_1_ggpio_b_0 |         63 |         63 |       0 |    0 |   222 |      0 |      0 |    0 |          0 |
|       U0                                               |                                      design_1_ggpio_b_0_axi_gpio |         63 |         63 |       0 |    0 |   222 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                     design_1_ggpio_b_0_GPIO_Core |          2 |          2 |       0 |    0 |   130 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                 design_1_ggpio_b_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     glue                                               |                                                  design_1_glue_0 |       4241 |       3889 |      80 |  272 | 10241 |      0 |      0 |    0 |          0 |
|       inst                                             |                                 design_1_glue_0_ternary_glue_axi |       4241 |       3889 |      80 |  272 | 10241 |      0 |      0 |    0 |          0 |
|         glue                                           |                                     design_1_glue_0_ternary_glue |       4241 |       3889 |      80 |  272 | 10241 |      0 |      0 |    0 |          0 |
|     gmem                                               |                                                  design_1_gmem_0 |       2136 |       1563 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_gmem_0_bd_1a62 |       2136 |       1563 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                    design_1_gmem_0_m00_exit_pipeline_imp_14VORK7 |        283 |        277 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                            design_1_gmem_0_m00_nodes_imp_1I7KKVF |        661 |        378 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                    design_1_gmem_0_s00_entry_pipeline_imp_4KNUYS |        296 |        296 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
|         s00_nodes                                      |                             design_1_gmem_0_s00_nodes_imp_1LNAFY |        269 |        133 |     136 |    0 |   325 |      0 |      0 |    0 |          0 |
