Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 11 01:09:47 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/bitnet-kv260/hardware/trit19-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         s01_entry_pipeline                             |                   design_1_mem1_0_s01_entry_pipeline_imp_1WQ93O3 |        264 |        263 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
|         s01_nodes                                      |                            design_1_mem1_0_s01_nodes_imp_1RDUC8B |        351 |        205 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
|         switchboards                                   |                          design_1_mem1_0_switchboards_imp_555K3T |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     mem2                                               |                                                  design_1_mem2_0 |       2125 |       1552 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_mem2_0_bd_03b1 |       2125 |       1552 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                      design_1_mem2_0_m00_exit_pipeline_imp_UKO2E |        284 |        278 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                             design_1_mem2_0_m00_nodes_imp_N3D3I2 |        658 |        375 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                    design_1_mem2_0_s00_entry_pipeline_imp_ZK21N9 |        293 |        293 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
|         s00_nodes                                      |                            design_1_mem2_0_s00_nodes_imp_15IJ5QN |        271 |        135 |     136 |    0 |   325 |      0 |      0 |    0 |          0 |
|         s01_entry_pipeline                             |                    design_1_mem2_0_s01_entry_pipeline_imp_7L1ATD |        263 |        262 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
